Severity,Message,File,Line
MINOR,Make sure not using resource integrity feature is safe here.,juice-shop-scan:frontend/src/index.html,
MAJOR,Text does not meet the minimal contrast requirement with its background.,juice-shop-scan:frontend/src/styles.scss,
MAJOR,Text does not meet the minimal contrast requirement with its background.,juice-shop-scan:frontend/src/styles.scss,
BLOCKER,Output bindings; including aliases; should not be named "on"; nor prefixed with it (https://angular.dev/guide/components/outputs#choosing-event-names),juice-shop-scan:frontend/src/app/mat-search-bar/mat-search-bar.component.ts,
BLOCKER,Output bindings; including aliases; should not be named "on"; nor prefixed with it (https://angular.dev/guide/components/outputs#choosing-event-names),juice-shop-scan:frontend/src/app/mat-search-bar/mat-search-bar.component.ts,
BLOCKER,Output bindings; including aliases; should not be named "on"; nor prefixed with it (https://angular.dev/guide/components/outputs#choosing-event-names),juice-shop-scan:frontend/src/app/mat-search-bar/mat-search-bar.component.ts,
BLOCKER,Output bindings; including aliases; should not be named "on"; nor prefixed with it (https://angular.dev/guide/components/outputs#choosing-event-names),juice-shop-scan:frontend/src/app/mat-search-bar/mat-search-bar.component.ts,
BLOCKER,Output bindings; including aliases; should not be named "on"; nor prefixed with it (https://angular.dev/guide/components/outputs#choosing-event-names),juice-shop-scan:frontend/src/app/mat-search-bar/mat-search-bar.component.ts,
CRITICAL,Exporting mutable 'let' binding; use 'const' instead.,juice-shop-scan:models/index.ts,
MINOR,Unexpected negated condition.,juice-shop-scan:data/datacreator.ts,
CRITICAL,Refactor this function to reduce its Cognitive Complexity from 55 to the 15 allowed.,juice-shop-scan:data/datacreator.ts,
MINOR,This assertion is unnecessary since it does not change the type of the expression.,juice-shop-scan:routes/nftMint.ts,
MINOR,This assertion is unnecessary since it does not change the type of the expression.,juice-shop-scan:routes/web3Wallet.ts,
CRITICAL,Refactor this function to reduce its Cognitive Complexity from 43 to the 15 allowed.,juice-shop-scan:rsn/rsnUtil.ts,
MINOR,Use the "RegExp.exec()" method instead.,juice-shop-scan:rsn/rsnUtil.ts,
MINOR,Prefer `Number.parseInt` over `parseInt`.,juice-shop-scan:rsn/rsnUtil.ts,
MINOR,Unexpected negated condition.,juice-shop-scan:frontend/src/app/chatbot/chat-welcome-screen/chat-welcome-screen.component.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Unexpected empty method 'load'.,juice-shop-scan:frontend/src/mocks/ng-gallery.ts,
CRITICAL,Unexpected empty method 'addImage'.,juice-shop-scan:frontend/src/mocks/ng-gallery.ts,
MINOR,Prefer `globalThis` over `window`.,juice-shop-scan:frontend/src/app/data-export/data-export.component.spec.ts,
MAJOR,Move function 'createComponent' to the outer scope.,juice-shop-scan:frontend/src/app/coding-challenge-page/coding-challenge-page.component.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
INFO,Complete the task associated to this "TODO" comment.,juice-shop-scan:frontend/src/app/score-board/helpers/challenge-filtering.spec.ts,
CRITICAL,Unexpected empty method 'unobserve'.,juice-shop-scan:frontend/src/app/search-result/search-result.component.spec.ts,
MINOR,Compare with `undefined` directly instead of using `typeof`.,juice-shop-scan:frontend/src/app/search-result/search-result.component.spec.ts,
CRITICAL,Unexpected empty method 'disconnect'.,juice-shop-scan:frontend/src/app/search-result/search-result.component.spec.ts,
CRITICAL,Unexpected empty method 'observe'.,juice-shop-scan:frontend/src/app/search-result/search-result.component.spec.ts,
MAJOR,The accessible name should be part of the visible label.,juice-shop-scan:frontend/src/app/login/login.component.html,
MAJOR,The accessible name should be part of the visible label.,juice-shop-scan:frontend/src/app/two-factor-auth/two-factor-auth.component.html,
MAJOR,Use <button> or <input> instead of the button role to ensure accessibility across all devices.,juice-shop-scan:frontend/src/app/chatbot/chat-conversation/chat-conversation.component.html,
MAJOR,Take the required action to fix the issue indicated by this comment.,juice-shop-scan:frontend/eslint.config.mjs,
MAJOR,Take the required action to fix the issue indicated by this comment.,juice-shop-scan:frontend/eslint.config.mjs,
MAJOR,Take the required action to fix the issue indicated by this comment.,juice-shop-scan:eslint.config.mjs,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
BLOCKER,Revoke and change this password; as it is compromised.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/2fa.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/address.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/administration.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/administration.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/administration.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/administration.test.ts,
MINOR,`String.raw` should be used to avoid escaping `\`.,juice-shop-scan:test/api/angular-dist.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/angular-dist.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/angular-dist.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/angular-dist.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/api.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/api.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/api.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/api.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/authenticated-users.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/authenticated-users.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/authenticated-users.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/b2b-order.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket-item.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/basket.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/challenge.test.ts,
MINOR,Prefer `node:http` over `http`.,juice-shop-scan:test/api/chat.test.ts,
MINOR,`toolNames` should be a `Set`; and use `toolNames.has()` to check existence or non-existence.,juice-shop-scan:test/api/chat.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/complaint.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/country-mapping.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/country-mapping.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/data-export.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/delivery.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/deluxe.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/erasure-request.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/feedback.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/file-serving.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/file-serving.test.ts,
CRITICAL,Remove this use of the "void" operator.,juice-shop-scan:test/api/file-serving.test.ts,
